inventory_id,snapshot_date,store_id,product_id,on_hand_qty,on_order_qty,reorder_point,unit_cost
1,2025-09-13,10477,1825,70,11,15,199.0
2,2025-09-13,410,4507,93,10,15,199.0
3,2025-09-13,4013,3658,94,16,15,199.0
4,2025-09-13,2287,1680,71,9,15,199.0
5,2025-09-13,11088,8936,65,0,15,199.0
6,2025-09-13,1425,9675,47,5,15,199.0
7,2025-09-13,6913,521,40,3,15,199.0
8,2025-09-13,489,1536,55,12,15,199.0
9,2025-09-13,3583,3812,48,12,15,199.0
10,2025-09-13,8280,9864,68,8,15,199.0
11,2025-09-13,435,9196,46,23,15,199.0
12,2025-09-13,3258,11732,36,16,15,199.0
13,2025-09-13,10648,11491,64,0,15,199.0
14,2025-09-13,8929,6874,64,16,15,199.0
15,2025-09-13,3612,7360,57,10,15,199.0
16,2025-09-13,9655,4558,44,9,15,199.0
17,2025-09-13,107,2616,67,1,15,199.0
18,2025-09-13,11439,6925,51,7,15,199.0
19,2025-09-13,5575,4553,82,17,15,199.0
20,2025-09-13,2548,3528,53,13,15,199.0
21,2025-09-13,5515,1675,49,10,15,199.0
22,2025-09-13,1520,6225,33,16,15,199.0
23,2025-09-13,1585,5882,58,18,15,199.0
24,2025-09-13,5636,9892,45,14,15,203.9
25,2025-09-13,4334,712,59,21,15,199.0
26,2025-09-13,11956,7528,78,12,15,199.0
27,2025-09-13,8786,2046,62,0,15,199.0
28,2025-09-13,6202,1292,67,20,15,199.0
29,2025-09-13,9045,4804,42,8,15,199.0
30,2025-09-13,10300,10134,67,8,15,199.0
31,2025-09-13,5926,9460,62,17,15,199.0
32,2025-09-13,3151,11544,52,9,15,199.0
33,2025-09-13,1140,751,66,13,15,199.0
34,2025-09-13,10835,3734,54,3,15,199.0
35,2025-09-13,4742,1308,52,7,15,199.0
36,2025-09-13,3815,1655,68,23,15,199.0
37,2025-09-13,6228,4555,65,11,15,199.0
38,2025-09-13,7429,10416,59,12,15,355.23
39,2025-09-13,5978,2665,55,13,15,199.0
40,2025-09-13,6066,5821,34,18,15,199.0
41,2025-09-13,3433,10981,77,6,15,199.0
42,2025-09-13,4375,11499,29,15,15,301.6
43,2025-09-13,11200,10618,38,8,15,199.0
44,2025-09-13,1170,9981,48,2,15,199.0
45,2025-09-13,10404,2804,36,14,15,199.0
46,2025-09-13,8752,11947,94,7,15,199.0
47,2025-09-13,4011,2678,77,4,15,199.0
48,2025-09-13,7574,6217,88,2,15,199.0
49,2025-09-13,4423,10486,65,16,15,199.0
50,2025-09-13,11275,9126,30,15,15,199.0
51,2025-09-13,3599,11217,65,14,15,199.0
52,2025-09-13,5314,917,65,13,15,199.0
53,2025-09-13,3753,526,101,14,15,199.0
54,2025-09-13,5169,6573,74,6,15,199.0
55,2025-09-13,4387,1085,85,7,15,199.0
56,2025-09-13,3457,9293,69,16,15,252.88
57,2025-09-13,11763,5156,54,7,15,199.0
58,2025-09-13,3484,10739,42,11,15,199.0
59,2025-09-13,8180,6483,66,16,15,199.0
60,2025-09-13,10533,7518,91,10,15,414.44
61,2025-09-13,2341,4340,73,6,15,199.0
62,2025-09-13,2288,4041,70,10,15,199.0
63,2025-09-13,9198,8831,70,11,15,199.0
64,2025-09-13,4305,9578,26,9,15,199.0
65,2025-09-13,7020,9561,64,4,15,199.0
66,2025-09-13,6544,5931,68,6,15,199.0
67,2025-09-13,3594,2267,61,5,15,199.0
68,2025-09-13,8349,8086,72,18,15,199.0
69,2025-09-13,1490,772,29,6,15,199.0
70,2025-09-13,1797,2505,71,15,15,817.68
71,2025-09-13,10281,2622,72,18,15,199.0
72,2025-09-13,11150,6917,74,10,15,199.0
73,2025-09-13,9772,1041,42,10,15,199.0
74,2025-09-13,6305,6253,61,25,15,199.0
75,2025-09-13,9764,7669,75,2,15,199.0
76,2025-09-13,8670,4120,83,12,15,199.0
77,2025-09-13,9065,189,44,16,15,199.0
78,2025-09-13,11146,11809,64,12,15,199.0
79,2025-09-13,1877,11170,107,15,15,199.0
80,2025-09-13,8798,4372,64,8,15,199.0
81,2025-09-13,10502,5574,42,11,15,199.0
82,2025-09-13,1828,4809,79,4,15,199.0
83,2025-09-13,7124,2592,49,8,15,233.71
84,2025-09-13,7434,54,68,4,15,199.0
85,2025-09-13,11831,11792,106,18,15,199.0
86,2025-09-13,4316,8202,49,19,15,199.0
87,2025-09-13,2928,8318,69,16,15,199.0
88,2025-09-13,1744,10245,58,0,15,199.0
89,2025-09-13,4890,10469,54,4,15,215.78
90,2025-09-13,8318,9978,28,9,15,199.0
91,2025-09-13,3259,2505,91,3,15,199.0
92,2025-09-13,6127,2647,60,6,15,199.0
93,2025-09-13,8838,8690,64,8,15,199.0
