product_id,product_sku,product_name,brand,category,subcategory,color,size,unit_price,start_date,end_date,is_active
1,CR-IN-SMA-00001,Croma Smart Lights L6848,Croma,Smart Home,Smart Lights,Blue,M,6970.7,2022-05-18,,1
2,CR-IN-WEA-00002,Croma Smartwatch LT4JO,Croma,Wearables,Smartwatch,Purple,XL,25661.19,2024-10-19,,1
3,CR-IN-AUD-00003,Croma Headphones 1T6C2,Croma,Audio,Headphones,Green,L,48850.47,2025-07-19,,1
4,CR-IN-ACC-00004,Croma Cables WH2YV,Croma,Accessories,Cables,White,M,1070.3,2025-02-15,,1
5,CR-IN-WEA-00005,Croma Smartwatch M10ID,Croma,Wearables,Smartwatch,White,M,29538.46,2024-09-24,,1
6,CR-IN-AUD-00006,Croma Headphones BCKMU,Croma,Audio,Headphones,White,XL,49387.48,2022-07-30,,1
7,CR-IN-MOB-00007,Croma Smartphones 9GR1A,Croma,Mobiles,Smartphones,Purple,M,29389.94,2025-03-27,,1
8,CR-IN-LAP-00008,Croma Ultrabooks 7869V,Croma,Laptops,Ultrabooks,White,XL,184550.16,2022-05-26,,1
9,CR-IN-LAP-00009,Croma Ultrabooks QJY33,Croma,Laptops,Ultrabooks,Space Grey,M,122693.77,2025-06-28,,1
10,CR-IN-SMA-00010,Croma Smart Lights B9HUC,Croma,Smart Home,Smart Lights,Space Grey,S,23605.27,2025-07-12,,1
11,CR-IN-TEL-00011,Croma LED SC6WC,Croma,Televisions,LED,Silver,S,83989.43,2023-05-21,,1
12,CR-IN-ACC-00012,Croma Cables NAX9X,Croma,Accessories,Cables,Red,XS,4092.95,2023-11-09,,1
13,CR-IN-APP-00013,Croma Washers VJ848,Croma,Appliances,Washers,Space Grey,XL,46507.2,2023-09-12,,1
14,CR-IN-LAP-00014,Croma Ultrabooks 2FK2N,Croma,Laptops,Ultrabooks,Blue,XS,181465.48,2024-11-03,,1
15,CR-IN-AUD-00015,Croma Headphones MV4Q7,Croma,Audio,Headphones,Green,XS,3170.22,2025-07-15,,1
16,CR-IN-MOB-00016,Croma Smartphones W0Z97,Croma,Mobiles,Smartphones,Green,OneSize,57292.64,2025-03-31,,1
17,CR-IN-TEL-00017,Croma LED ZZC4K,Croma,Televisions,LED,Blue,L,145730.75,2022-07-14,,1
18,CR-IN-MOB-00018,Croma Smartphones I4NHZ,Croma,Mobiles,Smartphones,Blue,OneSize,48099.75,2022-03-07,,1
19,CR-IN-CAM-00019,Croma DSLR JS6K1,Croma,Cameras,DSLR,Silver,L,175150.8,2023-08-30,,1
20,CR-IN-MOB-00020,Croma Smartphones HXCJJ,Croma,Mobiles,Smartphones,Space Grey,XL,111340.59,2022-07-09,,1
21,CR-IN-LAP-00021,Croma Ultrabooks NVSAN,Croma,Laptops,Ultrabooks,Black,M,30353.79,2022-11-09,,1
22,CR-IN-TEL-00022,Croma LED BN5QX,Croma,Televisions,LED,Blue,S,40894.49,2023-01-23,,1
23,CR-IN-LAP-00023,Croma Ultrabooks LARWV,Croma,Laptops,Ultrabooks,Blue,M,65583.61,2024-03-31,,1
24,CR-IN-ACC-00024,Croma Cables 3WL8L,Croma,Accessories,Cables,Purple,L,6500.03,2023-02-03,,1
25,CR-IN-TEL-00025,Croma LED TCK4P,Croma,Televisions,LED,Green,XS,68152.2,2024-10-14,,1
26,CR-IN-ACC-00026,Croma Cables SNPMZ,Croma,Accessories,Cables,White,S,9675.25,2024-09-29,,1
27,CR-IN-WEA-00027,Croma Smartwatch T3202,Croma,Wearables,Smartwatch,Silver,XS,10226.28,2025-01-11,,1
28,CR-IN-MOB-00028,Croma Smartphones BYCAF,Croma,Mobiles,Smartphones,Black,OneSize,12299.3,2025-02-03,,1
29,CR-IN-LAP-00029,Croma Ultrabooks MQ01H,Croma,Laptops,Ultrabooks,Space Grey,XL,107328.95,2023-01-15,,1
30,CR-IN-ACC-00030,Croma Cables NJPY2,Croma,Accessories,Cables,Purple,OneSize,6888.94,2023-10-05,,1
31,CR-IN-APP-00031,Croma Washers P3VD1,Croma,Appliances,Washers,Blue,L,132269.32,2023-11-19,,1
32,CR-IN-ACC-00032,Croma Cables 5LZ5D,Croma,Accessories,Cables,Space Grey,M,6892.3,2025-01-16,,1
33,CR-IN-APP-00033,Croma Washers WORJ2,Croma,Appliances,Washers,Black,XL,79482.13,2024-07-28,,1
34,CR-IN-CAM-00034,Croma DSLR U2GKB,Croma,Cameras,DSLR,Red,S,119416.36,2024-01-06,,1
