sales_id,sales_date,sales_time,store_id,product_id,customer_id,employee_id,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_type,transaction_id
1,2025-06-20,12:34:01,6452,7187,2552,9379,2,39820.38,79640.76,3982.04,75658.72,UPI,IN-TXN-20250620-59ZEO2E2
2,2025-07-14,19:53:07,7474,6514,3351,1400,1,13435.98,13435.98,0.0,13435.98,UPI,IN-TXN-20250714-3WXIJNQ6
3,2025-09-08,18:09:23,9298,8821,9364,1254,1,179596.39,179596.39,0.0,179596.39,CARD,IN-TXN-20250908-SVZY37CQ
4,2025-08-27,18:07:51,5736,6168,45,6846,1,54479.53,54479.53,0.0,54479.53,BNPL,IN-TXN-20250827-O0GATKG3
5,2025-08-28,11:20:37,10669,833,4262,8250,1,43710.55,43710.55,0.0,43710.55,CARD,IN-TXN-20250828-ANWFLY17
6,2025-09-05,20:42:52,5878,5099,4562,2207,1,34289.71,34289.71,1714.49,32575.22,CARD,IN-TXN-20250905-XZ3DAZ0F
7,2025-08-24,16:16:53,11378,166,5485,5799,1,3385.13,3385.13,0.0,3385.13,CASH,IN-TXN-20250824-1WLFTRDO
8,2025-06-08,19:12:59,8497,10944,6654,2084,2,206557.24,413114.48,0.0,413114.48,WALLET,IN-TXN-20250608-FP0AAEX6
9,2025-08-16,13:11:11,11577,4399,5959,3710,1,10229.13,10229.13,0.0,10229.13,CASH,IN-TXN-20250816-0HC1YBRM
10,2025-08-13,17:06:01,10426,1860,9515,10784,1,18610.51,18610.51,0.0,18610.51,CARD,IN-TXN-20250813-0OZXK8SY
11,2025-06-06,14:58:35,4258,2778,9389,7810,1,94172.44,94172.44,4708.62,89463.82,WALLET,IN-TXN-20250606-O1FDO1NO
12,2025-09-07,14:33:09,8300,1018,3205,10127,3,62389.16,187167.48,9358.37,177809.11,BNPL,IN-TXN-20250907-76D1QQM3
13,2025-06-19,15:20:52,11228,10721,698,7194,1,2809.35,2809.35,0.0,2809.35,WALLET,IN-TXN-20250619-AH9905W6
14,2025-07-26,18:40:16,7808,6822,1236,3694,1,43638.46,43638.46,2181.92,41456.54,CARD,IN-TXN-20250726-MZD5SKT5
15,2025-07-06,17:03:53,5337,5283,11205,7097,1,1236.11,1236.11,0.0,1236.11,CARD,IN-TXN-20250706-6H47L8YE
16,2025-08-11,10:34:25,2362,6482,11759,364,1,112560.26,112560.26,0.0,112560.26,WALLET,IN-TXN-20250811-OCXJD7VJ
17,2025-08-20,19:21:03,2981,9665,11733,8092,1,66148.42,66148.42,0.0,66148.42,UPI,IN-TXN-20250820-1INIPIAH
