store_id,store_name,store_number,format,address,city,state,postal_code,country,region,open_date,close_date,sq_ft
1,Croma High Street Delhi #1,1,High Street,8243 Mall Road,Delhi,Delhi,788636,India,India,2020-07-03,,21164
2,Croma Metro Bhilai #2,2,Metro,9390 Mall Road,Bhilai,Chhattisgarh,624750,India,India,2020-09-09,2021-02-21,4428
3,Croma Metro Bhopal #3,3,Metro,7377 MG Road,Bhopal,Madhya Pradesh,828461,India,India,2021-07-11,,9041
4,Croma High Street Guntur #4,4,High Street,6176 Station Road,Guntur,Andhra Pradesh,648535,India,India,2021-10-26,,18431
5,Croma Express Gwalior #5,5,Express,7504 Ring Road,Gwalior,Madhya Pradesh,786116,India,India,2018-04-12,,12886
6,Croma Metro Tirupati #6,6,Metro,6927 MG Road,Tirupati,Andhra Pradesh,528144,India,India,2019-04-22,,27097
7,Croma Outlet Chandigarh #7,7,Outlet,6533 Mall Road,Chandigarh,Chandigarh,381207,India,India,2024-04-29,,16502
8,Croma Flagship Silchar #8,8,Flagship,425 Mall Road,Silchar,Assam,345431,India,India,2018-07-20,,17944
9,Croma Metro Shimla #9,9,Metro,7045 Main Bazaar,Shimla,Himachal Pradesh,259330,India,India,2020-07-26,,4798
10,Croma Express Haridwar #10,10,Express,7700 Station Road,Haridwar,Uttarakhand,682136,India,India,2024-04-11,,10880
11,Croma Outlet Bilaspur #11,11,Outlet,8233 Station Road,Bilaspur,Chhattisgarh,612155,India,India,2022-11-09,,28057
12,Croma Metro Jaipur #12,12,Metro,552 Ring Road,Jaipur,Rajasthan,797491,India,India,2023-11-12,,12594
13,Croma Metro Durgapur #13,13,Metro,7965 Main Bazaar,Durgapur,West Bengal,646102,India,India,2022-11-14,,1901
14,Croma Express Gwalior #14,14,Express,7508 MG Road,Gwalior,Madhya Pradesh,569749,India,India,2023-01-30,,6798
15,Croma Metro Karnal #15,15,Metro,1063 Station Road,Karnal,Haryana,389409,India,India,2022-02-25,,25295
16,Croma Mall Faridabad #16,16,Mall,7372 MG Road,Faridabad,Haryana,206645,India,India,2023-01-23,,28205
17,Croma Mall Salem #17,17,Mall,3267 Ring Road,Salem,Tamil Nadu,236687,India,India,2024-02-17,,22704
18,Croma Metro Chandigarh #18,18,Metro,2545 MG Road,Chandigarh,Chandigarh,438668,India,India,2019-07-07,,16298
19,Croma Express Ranchi #19,19,Express,9809 Station Road,Ranchi,Jharkhand,639238,India,India,2018-12-12,,6046
20,Croma Outlet Nizamabad #20,20,Outlet,5023 Mall Road,Nizamabad,Telangana,542054,India,India,2019-09-01,,7245
21,Croma Mall Ludhiana #21,21,Mall,1748 Main Bazaar,Ludhiana,Punjab,187000,India,India,2021-11-22,,26016
22,Croma Express Mumbai #22,22,Express,8372 Main Bazaar,Mumbai,Maharashtra,453681,India,India,2023-01-18,,4777
23,Croma Flagship Cuttack #23,23,Flagship,9375 Mall Road,Cuttack,Odisha,289027,India,India,2024-08-18,,15008
24,Croma High Street Jammu #24,24,High Street,7527 Mall Road,Jammu,Jammu & Kashmir,354660,India,India,2024-02-20,,7205
25,Croma Mall Dehradun #25,25,Mall,751 Station Road,Dehradun,Uttarakhand,681229,India,India,2023-01-25,,21799
26,Croma Airport Siliguri #26,26,Airport,345 Ring Road,Siliguri,West Bengal,787015,India,India,2023-10-19,,5312
27,Croma Outlet Surat #27,27,Outlet,6399 High Street,Surat,Gujarat,556016,India,India,2018-11-19,,6934
28,Croma Outlet Visakhapatnam #28,28,Outlet,4326 Main Bazaar,Visakhapatnam,Andhra Pradesh,631773,India,India,2021-03-24,,11475
